,Ticker,MarketCap
0,BTC,181586745568.0
1,ETH,86366345971.0
2,XRP,37337138980.0
3,BCH,21232398933.0
4,LTC,12215067013.0
5,NEO,9270885000.0
6,ADA,8788369465.0
7,XLM,6698316519.0
8,EOS,6040148625.0
9,MIOTA,5604172342.0
10,DASH,4884556568.0
11,XMR,4772737902.0
12,ETC,3658019582.0
13,XEM,3610683000.0
14,TRX,2788992301.0
15,VEN,2457506074.0
16,USDT,2216460151.0
17,QTUM,2083880723.0
18,LSK,2082918131.0
19,BTG,2059057416.0
20,OMG,2032503955.0
21,ICX,1524119417.0
22,ZEC,1391401042.0
23,BNB,1059073547.0
24,DGD,958552000.0
25,BCN,930989225.0
26,STEEM,881985526.0
27,XVG,870707115.0
28,PPT,817574371.0
29,STRAT,778736183.0
30,SC,726990695.0
31,DOGE,726981048.0
32,WAVES,660769000.0
33,RHOC,660209275.0
34,MKR,654122074.0
35,SNT,604020351.0
36,BTS,581002494.0
37,AE,573260654.0
38,WTC,563943732.0
39,REP,536165300.0
40,DCR,535622845.0
41,ZRX,519962397.0
42,ETN,499743707.0
43,VERI,493169620.0
44,R,446813525.0
45,HSR,432934445.0
46,ARDR,421845519.0
47,GAS,417722462.0
48,KCS,404459776.0
49,KMD,401740705.0
50,ARK,387884391.0
51,BAT,365793000.0
52,DGB,360342656.0
53,CNX,352090690.0
54,SYS,345674774.0
55,BTM,344029707.0
56,LRC,343725424.0
57,ZIL,341301001.0
58,PIVX,326257223.0
59,ZCL,325749396.0
60,DRGN,324349207.0
61,MONA,319098199.0
62,FCT,309294144.0
63,GNT,308180554.0
64,NAS,307788195.0
65,ETHOS,297343675.0
66,ELF,296335000.0
67,QASH,294889350.0
68,AION,293931204.0
69,POLY,289271494.0
70,DENT,285550869.0
71,RDD,280230930.0
72,GBYTE,272378554.0
73,KNC,268885087.0
74,DCN,255943262.0
75,IOST,255302269.0
76,LINK,253858150.0
77,GXS,246924600.0
78,FUN,236349985.0
79,BTX,234710029.0
80,KIN,227551341.0
81,SALT,227438184.0
82,XZC,227186556.0
83,POWR,220106827.0
84,NXT,210376401.0
85,PART,204664034.0
86,CND,202255976.0
87,BNT,200615613.0
88,PLR,199573365.0
89,REQ,195628825.0
90,ENG,195326148.0
91,NEBL,181905805.0
92,VTC,179476546.0
93,PAY,173379833.0
94,BLOCK,171445157.0
95,AGI,166633523.0
96,QSP,165564895.0
97,MAID,161009097.0
98,RDN,156221050.0
